"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"00623","18.08429","-67.15336","Cabo Rojo","PR","Puerto Rico","TRUE","","39406","388.1","72023","Cabo Rojo","{""72023"": 100}","Cabo Rojo","72023","FALSE","FALSE","America/Puerto_Rico"
"00624","18.05905","-66.71932","Penuelas","PR","Puerto Rico","TRUE","","21648","178.0","72111","PeÃ±uelas","{""72111"": 94.94, ""72113"": 5.06}","PeÃ±uelas|Ponce","72111|72113","FALSE","FALSE","America/Puerto_Rico"
"00627","18.41905","-66.86037","Camuy","PR","Puerto Rico","TRUE","","32733","272.6","72027","Camuy","{""72027"": 100}","Camuy","72027","FALSE","FALSE","America/Puerto_Rico"
"00631","18.1852","-66.83169","Castaner","PR","Puerto Rico","TRUE","","1431","176.8","72081","Lares","{""72081"": 50.58, ""72001"": 49.42}","Lares|Adjuntas","72081|72001","FALSE","FALSE","America/Puerto_Rico"
"00637","18.081","-66.94659","Sabana Grande","PR","Puerto Rico","TRUE","","22882","251.2","72121","Sabana Grande","{""72121"": 93.98, ""72125"": 4.22, ""72079"": 1.8}","Sabana Grande|San GermÃ¡n|Lajas","72121|72125|72079","FALSE","FALSE","America/Puerto_Rico"
"00638","18.28462","-66.5137","Ciales","PR","Puerto Rico","TRUE","","17605","95.2","72039","Ciales","{""72039"": 91.88, ""72107"": 7.48, ""72091"": 0.64}","Ciales|Orocovis|ManatÃ­","72039|72107|72091","FALSE","FALSE","America/Puerto_Rico"
"00641","18.26742","-66.70212","Utuado","PR","Puerto Rico","TRUE","","24299","111.5","72141","Utuado","{""72141"": 100}","Utuado","72141","FALSE","FALSE","America/Puerto_Rico"
"00646","18.43251","-66.28429","Dorado","PR","Puerto Rico","TRUE","","35926","658.9","72051","Dorado","{""72051"": 97.18, ""72143"": 2.82}","Dorado|Vega Alta","72051|72143","FALSE","FALSE","America/Puerto_Rico"
"00647","17.96667","-66.94266","Ensenada","PR","Puerto Rico","TRUE","","4702","114.8","72055","GuÃ¡nica","{""72055"": 98.28, ""72079"": 1.72}","GuÃ¡nica|Lajas","72055|72079","FALSE","FALSE","America/Puerto_Rico"
"00650","18.34487","-66.58347","Florida","PR","Puerto Rico","TRUE","","13767","167.6","72054","Florida","{""72054"": 47.41, ""72141"": 41.94, ""72091"": 4.27, ""72039"": 2.9, ""72013"": 2.41, ""72017"": 1.07}","Florida|Utuado|ManatÃ­|Ciales|Arecibo|Barceloneta","72054|72141|72091|72039|72013|72017","FALSE","FALSE","America/Puerto_Rico"
"00652","18.45614","-66.60194","Garrochales","PR","Puerto Rico","TRUE","","3924","235.2","72013","Arecibo","{""72013"": 100}","Arecibo","72013","FALSE","FALSE","America/Puerto_Rico"
"00653","17.99413","-66.90266","Guanica","PR","Puerto Rico","TRUE","","8980","157.0","72055","GuÃ¡nica","{""72055"": 97.47, ""72121"": 2.53}","GuÃ¡nica|Sabana Grande","72055|72121","FALSE","FALSE","America/Puerto_Rico"
"00656","18.04186","-66.79123","Guayanilla","PR","Puerto Rico","TRUE","","18121","166.0","72059","Guayanilla","{""72059"": 97.01, ""72153"": 2.99}","Guayanilla|Yauco","72059|72153","FALSE","FALSE","America/Puerto_Rico"
"00659","18.41036","-66.79691","Hatillo","PR","Puerto Rico","TRUE","","37066","348.6","72065","Hatillo","{""72065"": 100}","Hatillo","72065","FALSE","FALSE","America/Puerto_Rico"
"00660","18.13412","-67.11399","Hormigueros","PR","Puerto Rico","TRUE","","15483","528.2","72067","Hormigueros","{""72067"": 100}","Hormigueros","72067","FALSE","FALSE","America/Puerto_Rico"
"00662","18.46622","-67.01508","Isabela","PR","Puerto Rico","TRUE","","40480","378.7","72071","Isabela","{""72071"": 100}","Isabela","72071","FALSE","FALSE","America/Puerto_Rico"
"00664","18.21064","-66.59066","Jayuya","PR","Puerto Rico","TRUE","","14967","123.2","72073","Jayuya","{""72073"": 94.96, ""72141"": 5.04}","Jayuya|Utuado","72073|72141","FALSE","FALSE","America/Puerto_Rico"
"00667","18.01246","-67.0417","Lajas","PR","Puerto Rico","TRUE","","23370","149.9","72079","Lajas","{""72079"": 98.05, ""72125"": 1.95}","Lajas|San GermÃ¡n","72079|72125","FALSE","FALSE","America/Puerto_Rico"
"00669","18.27019","-66.86727","Lares","PR","Puerto Rico","TRUE","","27529","165.8","72081","Lares","{""72081"": 93.38, ""72141"": 3.8, ""72083"": 2.7, ""72131"": 0.12}","Lares|Utuado|Las MarÃ­as|San SebastiÃ¡n","72081|72141|72083|72131","FALSE","FALSE","America/Puerto_Rico"
"00670","18.23782","-66.98852","Las Marias","PR","Puerto Rico","TRUE","","8746","72.6","72083","Las MarÃ­as","{""72083"": 95.63, ""72011"": 3.6, ""72097"": 0.45, ""72093"": 0.32}","Las MarÃ­as|AÃ±asco|MayagÃ¼ez|Maricao","72083|72011|72097|72093","FALSE","FALSE","America/Puerto_Rico"
"00674","18.42229","-66.4891","Manati","PR","Puerto Rico","TRUE","","39385","350.0","72091","ManatÃ­","{""72091"": 99.45, ""72145"": 0.55}","ManatÃ­|Vega Baja","72091|72145","FALSE","FALSE","America/Puerto_Rico"
"00676","18.37897","-67.08098","Moca","PR","Puerto Rico","TRUE","","36683","289.9","72099","Moca","{""72099"": 99.19, ""72003"": 0.81}","Moca|Aguada","72099|72003","FALSE","FALSE","America/Puerto_Rico"
"00677","18.33535","-67.23155","Rincon","PR","Puerto Rico","TRUE","","15304","405.6","72117","RincÃ³n","{""72117"": 98.0, ""72011"": 1.2, ""72003"": 0.8}","RincÃ³n|AÃ±asco|Aguada","72117|72011|72003","FALSE","FALSE","America/Puerto_Rico"
"00678","18.42949","-66.93016","Quebradillas","PR","Puerto Rico","TRUE","","25039","331.8","72115","Quebradillas","{""72115"": 77.06, ""72071"": 17.17, ""72131"": 5.77}","Quebradillas|Isabela|San SebastiÃ¡n","72115|72071|72131","FALSE","FALSE","America/Puerto_Rico"
"00680","18.16307","-67.36122","Mayaguez","PR","Puerto Rico","TRUE","","43173","259.2","72097","MayagÃ¼ez","{""72097"": 94.1, ""72125"": 3.46, ""72011"": 2.44}","MayagÃ¼ez|San GermÃ¡n|AÃ±asco","72097|72125|72011","FALSE","FALSE","America/Puerto_Rico"
"00682","18.22415","-67.15309","Mayaguez","PR","Puerto Rico","TRUE","","30414","720.0","72097","MayagÃ¼ez","{""72097"": 99.83, ""72067"": 0.17}","MayagÃ¼ez|Hormigueros","72097|72067","FALSE","FALSE","America/Puerto_Rico"
"00683","18.10926","-67.03803","San German","PR","Puerto Rico","TRUE","","29547","231.5","72125","San GermÃ¡n","{""72125"": 100}","San GermÃ¡n","72125","FALSE","FALSE","America/Puerto_Rico"
